pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege,puma_shnoncollege,puma_shpov_col,puma_shpov_noncol,puma_hhinc_col,puma_hhinc_noncol,puma_shmarr_noncol,puma_shcoh_noncol,puma_shunpmom_noncol,puma_shmarr_col,puma_shcoh_col,puma_shunpmom_col,puma_shpov_marr_col,puma_shpov_cohab_col,puma_shpov_unpmom_col,puma_shpov_marr_noncol,puma_shpov_cohab_noncol,puma_shpov_unpmom_noncol,puma_hhinc_marr_col,puma_hhinc_cohab_col,puma_hhinc_unpmom_col,puma_hhinc_marr_noncol,puma_hhinc_cohab_noncol,puma_hhinc_unpmom_noncol
Tooele & Box Elder Counties,4903001,4900100,Tooele & Box Elder Counties,4903000,2010,mountain division,0,100,00100,24.304638,75.695358,3.2674477,7.1504126,80000,57000,79.389427,7.9150786,12.695493,95.467796,.10037927,4.4318242,2.3165886,,23.824312,4.0843267,2.0845335,29.482084,80000,,39500,60000,87040,30000
"Davis County (North)--Layton, Clearfield, Kaysville, Syracuse & Clinton Cities",4911001,4900302,"Davis County (North)--Layton, Clearfield, Kaysville, Syracuse & Clinton Cities",4905000,2010,mountain division,11,302,00302,24.268753,75.731247,2.6748414,7.6621575,81000,57600,80.435875,6.6926293,12.871495,94.127274,.1427494,5.7299771,1.7217506,,18.39806,3.7860625,5.4658132,33.026451,87700,,39500,60000,76150,28400
"Cache, Summit, Morgan & Rich Counties",4905001,4900400,"Cache, Summit, Morgan & Rich Counties",4911002,2010,mountain division,0,400,00400,37.046413,62.953587,5.1912212,9.0891762,96000,71000,86.167824,3.7771411,10.055036,96.657677,.0001674817,3.3421555,1.9157248,,99.921326,2.4255967,48.009022,51.573406,100000,,22500,75000,96600,23250
"Davis County (North)--Layton, Clearfield, Kaysville, Syracuse & Clinton Cities",4911001,4900301,"Davis County (North)--Layton, Clearfield, Kaysville, Syracuse & Clinton Cities",4911003,2010,mountain division,11,301,00301,25.857561,74.142441,1.9181641,6.9358506,80100,62600,77.382484,5.6979952,16.919519,88.998291,.59551793,10.406189,.96749479,0,10.158476,1.4323144,3.0442426,33.417202,82200,59000,41000,66850,83500,20730
"Davis County (North)--Layton, Clearfield, Kaysville, Syracuse & Clinton Cities",4911001,4900301,"Davis County (North)--Layton, Clearfield, Kaysville, Syracuse & Clinton Cities",4911004,2010,mountain division,11,301,00301,25.868782,74.131218,1.9222826,6.9362864,80100,62600,77.389862,5.6964951,16.913647,89.008507,.59470588,10.396782,.96824998,0,10.199865,1.4319794,3.0663078,33.425125,82200,59000,41000,66850,83500,20730
"Cache, Summit, Morgan & Rich Counties",4905001,4900400,"Cache, Summit, Morgan & Rich Counties",4913000,2010,mountain division,0,400,00400,24.099796,75.900208,1.0315118,9.0442467,98900,58000,83.251945,3.3930058,13.355045,90.440231,.25945154,9.3003187,.0017274395,0,11.074347,3.026592,26.629627,42.089005,103000,61040,41200,64000,44500,15000
"Utah County (East)--Spanish Fork, Springville, Lehi (Northeast) & Highland Cities",4949004,4900502,"Utah County (East)--Spanish Fork, Springville, Lehi (Northeast) & Highland Cities",4921000,2010,mountain division,35,502,00502,22.494808,77.505188,10.777326,13.260701,75200,48000,83.152992,2.0627675,14.784239,89.454224,0,10.545781,11.906652,,1.1978526,8.9126968,7.4959583,38.5201,78100,,67000,50700,31300,20800
"Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities",4935008,4900506,"Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities",4935008,2010,mountain division,35,506,00506,41.197559,58.802441,4.0655785,19.677109,100480,67360,74.80442,3.8508103,21.344774,96.353271,.00036162575,3.6463711,1.552925,,70.461403,15.023642,11.549833,37.451782,104000,,17100,72004,66000,36000
Salt Lake County (South & East Central)--Draper (Northwest) & Sandy (South) Cities,4935009,4900502,Salt Lake County (South & East Central)--Draper (Northwest) & Sandy (South) Cities,4935009,2010,mountain division,35,502,00502,33.433475,66.566528,5.6059675,10.650116,98000,74200,81.281296,3.4112017,15.307507,93.032738,.70028466,6.2669778,3.4870358,0,37.687748,7.0805898,0,31.977257,100000,95000,29500,80000,64200,57740
"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna",4935001,4900501,"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna",4935011,2010,mountain division,35,501,00501,22.929653,77.070343,6.5581551,26.681217,88000,40000,63.929115,10.16585,25.905033,82.606163,.10468923,17.289145,2.8803086,,24.17033,18.329493,33.52058,44.607864,102000,,51004,48000,28300,27500
Salt Lake County (Northeast)--Salt Lake City (East),4935002,4900501,Salt Lake County (Northeast)--Salt Lake City (East),4935012,2010,mountain division,35,501,00501,31.040848,68.959152,6.2412543,34.298218,95000,35900,58.904873,11.148669,29.946459,84.14389,0,15.856108,1.9571522,,28.975777,28.895092,45.782715,40.650669,102000,,51004,38000,14400,34300
"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna",4935001,4900501,"Salt Lake County (Northwest)--Salt Lake City (West), West Valley City (West) & Magna",4935013,2010,mountain division,35,501,00501,13.217728,86.782272,6.0928426,17.752296,88000,50000,72.247993,7.7007108,20.051296,85.290237,.085490517,14.624277,5.3895011,,10.230416,10.166416,15.803273,45.833942,90800,,77110,55000,60800,24990
"Salt Lake County--West Valley City (East), Taylorsville & Murray (West) Cities",4935004,4900501,"Salt Lake County--West Valley City (East), Taylorsville & Murray (West) Cities",4935014,2010,mountain division,35,501,00501,13.719278,86.280724,6.0845647,17.798878,88000,50000,72.25724,7.6800728,20.062689,85.289841,.11221642,14.597942,5.250988,,11.001585,10.249802,16.338831,45.546341,90800,,77110,55000,60300,24990
