year,region,czone,czname,cz_shwhite,cz_shhispanic,cz_shblack,cz_shasian,cz_shother_race,cz_shpov_white,cz_shpov_hispanic,cz_shpov_black,cz_shpov_asian,cz_shpov_other_race,cz_hhinc_white,cz_hhinc_hispanic,cz_hhinc_black,cz_hhinc_asian,cz_hhinc_other_race,cz_shmarr_white,cz_shcoh_white,cz_shunpmom_white,cz_shmarr_hispanic,cz_shcoh_hispanic,cz_shunpmom_hispanic,cz_shmarr_black,cz_shcoh_black,cz_shunpmom_black,cz_shmarr_asian,cz_shcoh_asian,cz_shunpmom_asian,cz_shmarr_other_race,cz_shcoh_other_race,cz_shunpmom_other_race,cz_shpov_white_marr,cz_shpov_white_coh,cz_shpov_white_unpmom,cz_shpov_hispanic_marr,cz_shpov_hispanic_coh,cz_shpov_hispanic_unpmom,cz_shpov_black_marr,cz_shpov_black_coh,cz_shpov_black_unpmom,cz_shpov_asian_marr,cz_shpov_asian_coh,cz_shpov_asian_unpmom,cz_shpov_other_marr,cz_shpov_other_coh,cz_shpov_other_unpmom,cz_hhinc_white_marr,cz_hhinc_white_coh,cz_hhinc_white_unpmom,cz_hhinc_hispanic_marr,cz_hhinc_hispanic_coh,cz_hhinc_hispanic_unpmom,cz_hhinc_black_marr,cz_hhinc_black_coh,cz_hhinc_black_unpmom,cz_hhinc_asian_marr,cz_hhinc_asian_coh,cz_hhinc_asian_unpmom,cz_hhinc_other_marr,cz_hhinc_other_coh,cz_hhinc_other_unpmom
2023,west north central div,26504,"Watertown, SD",82.649658,5.7118559,.39647931,4.0767398,7.1652651,3.8859422,12.38629,100,88.269379,11.711387,107000,34900,24300,11350,50000,74.490013,12.649738,12.860248,71.587997,6.4130983,21.998903,,,,76.101532,6.0675626,17.830902,27.420122,30.83707,41.742809,3.2098551,2.0021741,9.6549559,8.1391449,,29.818022,,,,100,,68.240204,.54715711,27.964872,7.037878,117800,77700,43000,42000,,23200,,,,11350,,11350,50000,63400,30000
2023,west north central div,26601,"Milbank, MN",85.225571,5.5972638,1.2549707,2.2776537,5.6445436,4.4350371,14.916886,14.497612,76.596489,6.8297124,104000,55000,29500,11350,55450,77.410667,12.970707,9.6186275,66.485687,22.134197,11.380117,85.502388,0,14.497612,67.797005,4.9898763,27.213118,47.405025,17.967421,34.627552,3.511637,2.9492397,13.870152,16.198061,.0022771941,36.440662,,,,98.237785,,,.18529022,27.958456,4.9627023,114000,82000,43000,54000,111200,23200,,,,11350,,,104000,63400,50000
2023,west north central div,26602,"Sisseton, SD",83.430374,4.4961333,0,3.3500235,8.7234678,3.646081,17.363955,,73.758057,9.4551516,95300,57000,,17300,61500,69.983047,12.416197,17.600758,74.144852,14.037951,11.817201,,,,67.082611,13.573417,19.343967,16.124504,35.93,47.945492,2.213511,.91098899,11.271608,18.352108,,,,,,100,,,0,16.85074,7.0928068,116000,77700,43000,57000,,,,,,17300,,,61500,63400,48000
2023,west north central div,26603,"East Corson UT, SD",71.760674,5.9348178,.15325688,1.5794191,20.571835,6.2926917,2.1726778,0,.92507863,31.571999,115000,98800,144300,39010,53000,81.344696,8.474247,10.181055,63.537491,16.016298,20.446213,,,,95.428833,.35876712,4.2123947,48.740158,11.096854,40.162991,4.4013801,.50629717,26.220242,3.4195211,0,0,,,,.96705204,,,17.722216,40.903809,45.801193,125000,88000,40700,120000,98800,24000,,,,39010,,,80000,35200,40300
2023,west north central div,26604,"Mobridge, SD",83.430374,4.4961333,0,3.3500235,8.7234678,3.646081,17.363955,,73.758057,9.4551516,95300,57000,,17300,61500,69.983047,12.416197,17.600758,74.144852,14.037951,11.817201,,,,67.082611,13.573419,19.343967,16.124504,35.93,47.945492,2.213511,.91098899,11.271609,18.35211,,,,,,,,,,16.850739,7.0928068,116000,77700,43000,57000,,,,,,,,,,63400,48000
2023,west north central div,26605,"Aberdeen, SD",83.430374,4.4961333,0,3.3500235,8.7234678,3.646081,17.363955,,73.758057,9.4551516,95300,57000,,17300,61500,69.983047,12.416197,17.600758,74.144852,14.037951,11.817201,,,,67.082611,13.573417,19.343967,16.124504,35.93,47.945492,2.213511,.91098899,11.271608,18.352108,0,31.791046,,,,100,0,34.509182,0,16.850739,7.0928073,116000,77700,43000,57000,61000,23200,,,,17300,45000,53000,61500,63400,48000
2023,west north central div,26701,"Bemidji, MN",81.544998,2.7196114,.00046667363,1.5261323,14.208792,6.392684,19.302099,0,0,19.685072,98000,40000,29500,40000,65500,71.257927,11.197351,17.544725,42.76926,4.4853401,52.745396,,,,49.90023,50.090374,.0093960455,30.819893,13.593285,55.586823,2.4896984,7.3852272,21.611204,3.4498823,0,33.79747,,,,0,0,,4.1469111,35.195766,24.507135,111000,95300,43400,86000,40000,30060,,,,89400,40000,,87400,50000,37300
2023,west north central div,26702,"Grafton, ND",77.482674,6.2100573,2.8948457,.78809994,12.624322,3.9456229,5.3877411,0,1.4481313,7.5909181,128000,70000,110600,140000,66900,81.43959,11.604866,6.9555454,58.044147,4.3507519,37.605103,100,0,0,67.613861,19.051889,13.334245,69.185371,2.0661979,28.748434,1.2270665,1.291633,40.204071,6.6403761,,4.0776143,0,,,2.0157804,,,.30216676,,25.677446,132000,110200,31000,95000,,42200,110600,,,140000,,,104000,,24000
2023,west north central div,26703,"Thief River Falls, MN",80.275146,4.7529092,1.6550345,1.8663979,11.450508,5.8385162,24.015621,0,0,17.293465,103200,59200,29500,43800,81600,79.061333,11.677185,9.2614832,44.336494,26.791996,28.871513,100,0,0,33.571098,39.181389,27.247513,48.836441,6.7505188,44.41304,4.2709408,4.3949375,21.040354,32.158115,0,33.797466,0,,,0,,,2.2986076,0,36.410271,114000,91000,36300,66000,111200,30060,29500,,,199000,,,106000,50400,21900
2023,west north central div,26704,"Grand Forks, ND",77.557953,6.2029748,2.96311,.99069178,12.285272,4.1084962,7.7226849,0,.3398197,6.7103333,125900,70000,110600,140000,66900,81.286552,11.474673,7.2387681,53.739784,6.9181099,39.342102,100,0,0,58.058941,24.726072,17.214989,67.801994,2.332881,29.865126,1.6357428,1.6552392,35.764706,9.7100763,0,6.3659801,0,,,.55087179,0,.11611622,.51691139,0,21.295265,130000,110200,36300,95000,111200,42200,110600,,,140000,40000,190000,104000,50400,24000
